Tasks, Init Task size, Init Task needed cycle breaking, Methods, min(excl. init), max(excl. init), avg(excl. init), Num methods needed cycle breaking, Num methods with > 1 subtasks, Recursive, TDG Height(root=0), find all prec eff(secs), find new orderings(secs), break cycles and topSort(secs), Preprocessing time, Grounding time, Problem Name
67425, 1, false, 55021, 1, 12, 2.21434, 15615, 48963, true, 10, 0.79753, 0.640929, 0.255401, 1.70199, 1.930818323, Monroe-Partially-Observable/pfile20-p-0046-clear-road-wreck-2
67801, 1, false, 55304, 1, 12, 2.21725, 15770, 49244, true, 10, 1.00044, 0.740666, 0.263562, 2.01437, 1.917780640, Monroe-Partially-Observable/pfile21-p-0018-fix-power-line-1
67429, 1, false, 55027, 1, 12, 2.21411, 15613, 48963, true, 10, 0.872444, 0.678871, 0.281452, 1.8414, 2.005644238, Monroe-Partially-Observable/pfile22-p-0037-clear-road-hazard-4
67443, 1, false, 55041, 1, 12, 2.21373, 15612, 48961, true, 10, 0.96849, 0.71262, 0.304955, 1.99518, 2.232101933, Monroe-Partially-Observable/pfile23-p-0086-provide-temp-heat-17
67427, 1, false, 55025, 1, 12, 2.21416, 15613, 48963, true, 10, 0.813681, 0.658679, 0.261265, 1.74195, 2.021334202, Monroe-Partially-Observable/pfile24-p-0059-clear-road-hazard-3
8062, 60, true, 9073, 1, 3, 1.38796, 3102, 3102, true, 47, 0.046957, 0.043872, 0.538211, 1.13467, .178996771, Transport/pfile34
6386, 50, true, 6826, 1, 3, 1.37416, 2206, 2206, true, 32, 0.029409, 0.028237, 0.252204, 0.539644, .136632926, Transport/pfile33
3673, 30, true, 4135, 1, 3, 1.38718, 1423, 1423, true, 32, 0.010454, 0.008583, 0.039834, 0.088122, .070006866, Transport/pfile31
12969, 80, true, 15377, 1, 3, 1.40105, 5529, 5529, true, 56, 0.097138, 0.111501, 1.73724, 3.59617, .297958392, Transport/pfile36
13421, 100, true, 13761, 1, 3, 1.36327, 4201, 4201, true, 50, 0.096238, 0.162584, 4.1318, 8.48741, .328118342, Transport/pfile38
511, 12, true, 511, 1, 3, 1.43249, 187, 187, true, 10, 0.000404, 0.000356, 0.002611, 0.004359, .012910608, Transport/pfile22
129, 4, true, 131, 1, 3, 1.41985, 49, 49, true, 8, 6.2e-05, 4.6e-05, 0.000473, 0.000633, .005825147, Transport/pfile12
402, 11, true, 401, 1, 3, 1.35661, 123, 123, true, 10, 0.000263, 0.00022, 0.001874, 0.003073, .010843285, Transport/pfile19
381, 10, true, 401, 1, 3, 1.37157, 131, 131, true, 10, 0.000235, 0.000169, 0.001547, 0.002424, .009670022, Transport/pfile18
116, 24, true, 102, 1, 2, 1.19608, 22, 22, true, 5, 3e-05, 9.4e-05, 0.012137, 0.024303, .005740418, Transport/pfile10
19, 6, true, 16, 1, 2, 1.4375, 9, 9, true, 4, 5e-06, 8e-06, 0.000117, 0.000215, .003543644, Transport/pfile01
45, 9, true, 41, 1, 2, 1.26829, 13, 13, true, 5, 1.1e-05, 1.8e-05, 0.000375, 0.000724, .004035785, Transport/pfile02
4763, 40, true, 5365, 1, 3, 1.38788, 1843, 1843, true, 35, 0.017628, 0.015954, 0.112909, 0.245998, .118187851, Transport/pfile32
340, 9, true, 355, 1, 3, 1.36901, 115, 115, true, 12, 0.000209, 0.000154, 0.001366, 0.002087, .009433308, Transport/pfile17
14939, 90, true, 18057, 1, 3, 1.40577, 6609, 6609, true, 61, 0.123002, 0.150787, 2.83983, 5.81631, .366551049, Transport/pfile37
104, 18, true, 99, 1, 2, 1.24242, 26, 26, true, 7, 3.6e-05, 7.9e-05, 0.004586, 0.009101, .006013091, Transport/pfile08
2286, 25, true, 2396, 1, 3, 1.36895, 761, 761, true, 21, 0.004146, 0.003692, 0.020335, 0.046096, .043123409, Transport/pfile29
175, 6, true, 169, 1, 3, 1.42012, 61, 61, true, 8, 7e-05, 6e-05, 0.000575, 0.000804, .006233480, Transport/pfile14
18581, 110, true, 19291, 1, 3, 1.36644, 5971, 5971, true, 61, 0.152705, 0.266003, 6.21935, 12.725, .433942768, Transport/pfile39
397, 9, true, 406, 1, 3, 1.4335, 151, 151, true, 11, 0.000311, 0.000348, 0.001859, 0.003016, .017055639, Transport/pfile21
235, 8, true, 229, 1, 3, 1.42358, 83, 83, true, 9, 0.00013, 0.000132, 0.001071, 0.001597, .008232503, Transport/pfile16
1473, 20, true, 1545, 1, 3, 1.36958, 493, 493, true, 18, 0.002447, 0.002193, 0.011423, 0.023297, .035106486, Transport/pfile26
